iter	RMSE
0	4.272032366
1	4.247371503
2	4.220077131
3	4.192452515
4	4.162829171
5	4.138250313
6	4.108949404
7	4.09304605
8	4.075695373
9	4.058530825
10	4.035423997
11	4.009436087
12	3.984941754
13	3.959517567
14	3.93640955
15	3.909078872
16	3.881355706
17	3.856377301
18	3.837647644
19	3.811455949
20	3.787760468
21	3.765792948
22	3.740493474
23	3.724963502
24	3.700428485
25	3.685152706
26	3.670028257
27	3.648156084
28	3.626991507
29	3.603873274
30	3.580730595
31	3.557412722
32	3.531046948
33	3.503132651
34	3.488707077
35	3.466541846
36	3.452312969
37	3.426064057
38	3.412010823
39	3.39284506
40	3.368548342
41	3.34761462
42	3.332413826
43	3.308740679
44	3.290540414
45	3.277121742
46	3.263827427
47	3.242112516
48	3.2268406
49	3.21388027
50	3.201117826
51	3.178715239
52	3.163000921
53	3.148392975
54	3.135931578
55	3.115171862
56	3.095063757
57	3.079018214
58	3.058312138
59	3.039430399
60	3.017486584
61	3.001961133
62	2.99017165
63	2.97843887
64	2.96285633
65	2.951295838
66	2.933300904
67	2.920859023
68	2.899679951
69	2.888422572
70	2.874381881
71	2.860365243
72	2.848258963
73	2.829418389
74	2.811310468
75	2.794414036
76	2.774853458
77	2.764191693
78	2.746740434
79	2.732666863
80	2.715163375
81	2.697561274
82	2.679007085
83	2.662793599
84	2.647093341
85	2.628100538
86	2.615873249
87	2.597442115
88	2.578272931
89	2.559639819
90	2.549621755
91	2.538770042
92	2.523575566
93	2.506921804
94	2.493167449
95	2.481278568
96	2.47164394
97	2.457262369
98	2.445660334
99	2.431713024
100	2.416008873
101	2.399228759
102	2.38994247
103	2.377790669
104	2.362398658
105	2.351636494
106	2.337425335
107	2.323731227
108	2.312824814
109	2.303955847
110	2.289201766
111	2.273095486
112	2.264387804
113	2.252147921
114	2.238565646
115	2.223918955
116	2.215414138
117	2.206976898
118	2.198265856
119	2.186266915
120	2.178020285
121	2.164688235
122	2.151148194
123	2.140618187
124	2.127275903
125	2.117829686
126	2.109137381
127	2.097753349
128	2.083563978
129	2.069587463
130	2.058871837
131	2.051141451
132	2.04275522
133	2.035656157
134	2.028045121
135	2.019821281
136	2.007630573
137	2.000184184
138	1.992250227
139	1.982835746
140	1.969656981
141	1.961335543
142	1.954136935
143	1.942367449
144	1.933314951
145	1.921026843
146	1.908908842
147	1.895370932
148	1.881685432
149	1.86865731
150	1.85510912
151	1.848197487
152	1.83623462
153	1.824871879
154	1.815827903
155	1.80874381
156	1.800087541
157	1.793434247
158	1.786831626
159	1.780313615
160	1.773849682
161	1.767436724
162	1.761033743
163	1.754365803
164	1.745739819
165	1.739511218
166	1.726820367
167	1.717793398
168	1.711683412
169	1.705201375
170	1.698418032
171	1.692038997
172	1.68209053
173	1.671167852
174	1.665303322
175	1.657115177
176	1.646399107
177	1.640600438
178	1.634891232
179	1.629227336
180	1.618420032
181	1.612508076
182	1.605784092
183	1.600275538
184	1.594810817
185	1.586172286
186	1.577195821
187	1.571264473
188	1.560525889
189	1.554368754
190	1.549114599
191	1.542889977
192	1.537424057
193	1.531991941
194	1.526848898
195	1.516125216
196	1.507648354
197	1.50259607
198	1.496328484
199	1.485595091
200	1.480688415
201	1.475821068
202	1.469819466
203	1.460713343
204	1.454890553
205	1.443323757
206	1.438604243
207	1.433922668
208	1.422429828
209	1.412496176
210	1.402625813
211	1.393356356
212	1.383565407
213	1.379012839
214	1.373480889
215	1.368997187
216	1.357994457
217	1.349082972
218	1.34054831
219	1.336109141
220	1.331070084
221	1.321672692
222	1.314316743
223	1.309303559
224	1.301641379
225	1.292420866
226	1.288209605
227	1.281228218
228	1.270410619
229	1.262717655
230	1.258355137
231	1.249422687
232	1.243321436
233	1.234639646
234	1.230598507
235	1.22164173
236	1.214073775
237	1.206448917
238	1.201133239
239	1.19326304
240	1.184515861
241	1.177061483
242	1.172720965
243	1.167493167
244	1.163632715
245	1.158797558
246	1.153988869
247	1.149675531
248	1.142880908
249	1.138059956
250	1.131264828
251	1.124946024
252	1.119925206
253	1.112075122
254	1.10531586
255	1.100471474
256	1.095228031
257	1.087403845
258	1.079660025
259	1.073946251
260	1.066656677
261	1.058746871
262	1.051264311
263	1.047845886
264	1.042426575
265	1.03766283
266	1.03147989
267	1.027100117
268	1.023218863
269	1.016293415
270	1.009462046
271	1.003032741
272	0.9968471176
273	0.9914533133
274	0.985007902
275	0.9786481072
276	0.9744416956
277	0.9681607389
278	0.9643900489
279	0.9587367266
280	0.9541141781
281	0.9480415201
282	0.9437140289
283	0.9369321827
284	0.9331533632
285	0.9294886447
286	0.9245060413
287	0.9195662326
288	0.9158111733
289	0.9106742857
290	0.90620614
291	0.9002758347
292	0.894086599
293	0.8901421566
294	0.8853955299
295	0.8795616722
296	0.8754165358
297	0.8698480482
298	0.8657296411
299	0.8618546987
300	0.8577277088
301	0.8521604612
302	0.8477037178
303	0.8443359147
304	0.8410575564
305	0.835644051
306	0.8302681332
307	0.8245615377
308	0.8203330409
309	0.8161509285
310	0.8108632399
311	0.8056153882
312	0.8002398723
313	0.7951128495
314	0.7914493039
315	0.7874107898
316	0.7822474138
317	0.7772106872
318	0.7734903284
319	0.7704240451
320	0.7673343148
321	0.7638343244
322	0.7604870951
323	0.7548548346
324	0.749258466
325	0.7444653133
326	0.7406504456
327	0.7375465777
328	0.7346095251
329	0.7298632168
330	0.7264166621
331	0.7217322563
332	0.7184699729
333	0.7155441507
334	0.7109253769
335	0.7063840614
336	0.7018818682
337	0.6987512358
338	0.6945011683
339	0.69141104
340	0.6870025213
341	0.6826327952
342	0.6798463537
343	0.6754764544
344	0.6708706477
345	0.6665672244
346	0.6632057896
347	0.6605242019
348	0.6579405002
349	0.6535589432
350	0.6509115937
351	0.6467794598
352	0.6440541364
353	0.6413599262
354	0.6372871968
355	0.634464885
356	0.6304445995
357	0.62624751
358	0.6219865883
359	0.6189412372
360	0.6163515391
361	0.6124083721
362	0.6099449554
363	0.605632808
364	0.6018126477
365	0.5980147575
366	0.59550387
367	0.5931152729
368	0.5893725155
369	0.5856579152
370	0.5833093413
371	0.5808363043
372	0.5771827678
373	0.5735502066
374	0.5699450035
375	0.566366942
376	0.562815807
377	0.5605647558
378	0.557053008
379	0.5547276148
380	0.5525247103
381	0.5490705611
382	0.5468917119
383	0.5434693967
384	0.5413229561
385	0.5379386871
386	0.5345800028
387	0.5310463012
388	0.5288102881
389	0.5255144941
390	0.5222436112
391	0.5200441482
392	0.5180671481
393	0.5146435735
394	0.5125186331
395	0.5093308945
396	0.5073388814
397	0.5039874881
398	0.5019095649
399	0.4987924535
400	0.4956989982
401	0.4937675787
402	0.490510867
403	0.48747523
404	0.4854411345
405	0.4824395957
406	0.480457407
407	0.4785976894
408	0.4754428334
409	0.4723130575
410	0.4694005369
411	0.4674748706
412	0.4655633534
413	0.4626935047
414	0.4596517322
415	0.4567972143
416	0.4549333247
417	0.4531758888
418	0.4513337341
419	0.4494838079
420	0.4466114961
421	0.4448057456
422	0.4419650248
423	0.4391458715
424	0.4373760492
425	0.4346605833
426	0.4329983593
427	0.4302382757
428	0.4285084412
429	0.4267913716
430	0.4240708154
431	0.4223756125
432	0.4206953034
433	0.4180132709
434	0.415257773
435	0.4135815228
436	0.4109485783
437	0.4093160829
438	0.4067775428
439	0.4051659026
440	0.4036441105
441	0.4010744158
442	0.3986666304
443	0.3970950289
444	0.3955350746
445	0.3939866987
446	0.3924498328
447	0.3898875949
448	0.3873501166
449	0.3858414399
450	0.3832913373
451	0.3807959919
452	0.3793202054
453	0.3778494236
454	0.3753917002
455	0.3729112266
456	0.3704906359
457	0.3690542178
458	0.3667640594
459	0.3653540776
460	0.3639465188
461	0.3616891866
462	0.3593915995
463	0.3571677904
464	0.3549611861
465	0.3527716386
466	0.3504717067
467	0.3491183434
468	0.3468538301
469	0.3455265133
470	0.3441998391
471	0.3428830428
472	0.3406671231
473	0.3384788349
474	0.3363362221
475	0.3350998594
476	0.3331492537
477	0.3318783536
478	0.3306674906
479	0.3294138176
480	0.328113222
481	0.325993302
482	0.3248180391
483	0.3236101682
484	0.3215361341
485	0.3203442392
486	0.3191483175
487	0.3170903518
488	0.3150591976
489	0.3130438555
490	0.3119285398
491	0.310767784
492	0.3088096624
493	0.3076636928
