iter	Passed	Remaining
0	8	8809
1	13	6901
2	15	5275
3	17	4408
4	20	4134
5	21	3599
6	22	3224
7	24	3024
8	26	2911
9	26	2670
10	31	2801
11	34	2824
12	38	2952
13	40	2874
14	43	2828
15	45	2772
16	48	2777
17	49	2693
18	51	2678
19	55	2711
20	58	2704
21	60	2683
22	62	2651
23	64	2608
24	66	2612
25	68	2584
26	70	2553
27	73	2537
28	79	2648
29	80	2614
30	87	2739
31	91	2767
32	101	2979
33	107	3044
34	108	2999
35	113	3046
36	115	3010
37	126	3214
38	127	3137
39	128	3087
40	130	3044
41	131	2994
42	150	3344
43	162	3537
44	166	3527
45	168	3491
46	170	3465
47	180	3573
48	182	3551
49	183	3488
50	189	3518
51	190	3475
52	191	3419
53	192	3366
54	193	3322
55	195	3297
56	196	3245
57	196	3198
58	198	3164
59	199	3126
60	200	3090
61	202	3060
62	204	3035
63	204	2990
64	205	2956
65	206	2917
66	212	2955
67	214	2941
68	218	2943
69	218	2902
70	223	2930
71	225	2909
72	226	2875
73	227	2841
74	239	2956
75	245	2979
76	248	2982
77	251	2971
78	256	2985
79	258	2977
80	260	2953
81	265	2974
82	273	3023
83	276	3017
84	282	3036
85	284	3020
86	286	3011
87	294	3047
88	295	3020
89	296	2998
90	296	2965
91	297	2936
92	304	2966
93	306	2951
94	308	2940
95	311	2931
96	312	2908
97	316	2915
98	318	2896
99	320	2885
100	323	2876
101	328	2890
102	330	2877
103	335	2887
104	343	2924
105	358	3021
106	370	3090
107	375	3103
108	376	3075
109	379	3066
110	382	3067
111	385	3057
112	390	3061
113	393	3056
114	394	3034
115	395	3016
116	398	3007
117	399	2982
118	399	2959
119	403	2959
120	404	2938
121	405	2921
122	416	2969
123	424	2995
124	429	3008
125	430	2986
126	431	2962
127	433	2955
128	436	2944
129	437	2928
130	438	2910
131	439	2888
132	439	2867
133	441	2851
134	441	2830
135	444	2821
136	447	2818
137	447	2797
138	448	2779
139	449	2764
140	451	2749
141	465	2809
142	466	2798
143	474	2819
144	476	2811
145	480	2812
146	489	2839
147	490	2821
148	503	2876
149	509	2885
150	511	2876
151	514	2870
152	515	2856
153	526	2893
154	532	2900
155	532	2881
156	539	2895
157	541	2887
158	542	2870
159	547	2875
160	547	2855
161	548	2837
162	553	2840
163	565	2880
164	567	2872
165	568	2856
166	574	2867
167	578	2863
168	578	2844
169	578	2826
170	584	2834
171	588	2830
172	591	2826
173	594	2821
174	595	2807
175	598	2801
176	601	2797
177	602	2781
178	602	2763
179	603	2747
180	611	2764
181	622	2798
182	623	2784
183	624	2767
184	624	2751
185	626	2740
186	650	2827
187	657	2841
188	663	2847
189	665	2838
190	667	2827
191	668	2815
192	670	2803
193	672	2793
194	673	2778
195	677	2777
196	679	2770
197	681	2759
198	681	2744
199	686	2746
200	686	2730
201	687	2714
202	692	2717
203	694	2710
204	695	2697
205	696	2684
206	696	2669
207	698	2660
208	701	2653
209	705	2655
210	709	2652
211	713	2650
212	716	2646
213	716	2633
214	718	2624
215	719	2610
216	724	2612
217	728	2612
218	729	2599
219	729	2585
220	738	2603
221	740	2596
222	743	2590
223	747	2588
224	761	2622
225	762	2611
226	763	2598
227	774	2620
228	777	2616
229	780	2611
230	789	2627
231	797	2638
232	799	2632
233	805	2637
234	806	2624
235	810	2623
236	814	2620
237	818	2622
238	828	2638
239	830	2629
240	841	2650
241	842	2639
242	848	2642
243	852	2642
244	853	2630
245	857	2627
246	860	2623
247	872	2647
248	881	2659
249	889	2668
250	898	2679
251	907	2692
252	907	2680
253	915	2688
254	922	2694
255	935	2718
256	941	2722
257	944	2717
258	950	2719
259	962	2739
260	967	2740
261	973	2741
262	977	2738
263	980	2733
264	990	2747
265	995	2746
266	1001	2749
267	1002	2739
268	1003	2728
269	1009	2730
270	1012	2724
271	1018	2724
272	1022	2722
273	1025	2717
274	1035	2730
275	1037	2721
276	1041	2719
277	1043	2710
278	1050	2716
279	1054	2712
280	1058	2709
281	1062	2705
282	1065	2699
283	1069	2697
284	1072	2690
285	1073	2680
286	1075	2671
287	1076	2661
288	1089	2681
289	1092	2674
290	1093	2665
291	1096	2658
292	1099	2653
293	1102	2647
294	1103	2638
295	1105	2628
296	1114	2638
297	1119	2637
298	1125	2639
299	1127	2631
300	1136	2638
301	1138	2631
302	1143	2629
303	1148	2628
304	1152	2625
305	1155	2621
306	1157	2612
307	1179	2649
308	1181	2642
309	1187	2642
310	1190	2637
311	1194	2633
312	1197	2629
313	1204	2630
314	1209	2631
315	1214	2628
316	1231	2653
317	1233	2645
318	1245	2658
319	1248	2654
320	1249	2643
321	1250	2633
322	1251	2622
323	1262	2633
324	1268	2633
325	1274	2635
326	1278	2631
327	1286	2635
328	1291	2633
329	1295	2629
330	1296	2621
331	1299	2614
332	1302	2608
333	1304	2600
334	1307	2594
335	1326	2621
336	1327	2612
337	1339	2623
338	1344	2621
339	1345	2612
340	1347	2603
341	1357	2612
342	1359	2603
343	1360	2595
344	1363	2588
345	1365	2581
346	1369	2576
347	1374	2575
348	1380	2575
349	1383	2570
350	1392	2574
351	1402	2581
352	1403	2572
353	1408	2570
354	1409	2561
355	1412	2555
356	1415	2548
357	1418	2544
358	1420	2536
359	1426	2536
360	1434	2538
361	1441	2540
362	1446	2538
363	1452	2537
364	1453	2529
365	1456	2523
366	1461	2520
367	1463	2513
368	1466	2508
369	1485	2529
370	1487	2522
371	1489	2513
372	1490	2505
373	1495	2502
374	1500	2500
375	1503	2494
376	1505	2487
377	1506	2479
378	1508	2470
379	1509	2462
380	1512	2457
381	1517	2454
382	1519	2447
383	1521	2440
384	1523	2433
385	1524	2424
386	1525	2416
387	1527	2409
388	1532	2407
389	1534	2399
390	1536	2392
391	1537	2385
392	1539	2377
393	1541	2371
394	1543	2363
395	1546	2358
396	1548	2351
397	1549	2344
398	1552	2338
399	1553	2330
400	1555	2323
401	1564	2327
402	1567	2321
403	1569	2315
404	1573	2311
405	1580	2311
406	1582	2305
407	1586	2301
408	1589	2297
409	1592	2291
410	1595	2286
411	1596	2279
412	1598	2271
413	1600	2265
414	1604	2261
415	1605	2254
416	1614	2257
417	1617	2252
418	1620	2247
419	1629	2250
420	1634	2247
421	1642	2249
422	1653	2255
423	1659	2254
424	1667	2256
425	1674	2256
426	1686	2263
427	1693	2262
428	1702	2266
429	1711	2268
430	1716	2266
431	1718	2259
432	1720	2253
433	1732	2259
434	1745	2266
435	1754	2269
